PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Sonny Weems,SG-SF,4.40%,-,-,6' 4'',6' 5.5'',8' 8'',193,6' 10''
DeAnthony Melton,SG-PG,5.20%,8.5,9.5,6' 2.25'',6' 3.25'',8' 3.5'',193.2,6' 8.5''
Carl Krauser,PG-SG,-%,-,-,5' 11.5'',6' 0.75'',8' 2.5'',193.4,6' 5.5''
D?Angelo Russell,PG-SG,8.30%,8.75,9.75,6' 3.25'',6' 5'',8' 6'',193.4,6' 9.75''
Justin Jackson,SF,7.60%,8.75,8.75,6' 7'',6' 8.25'',8' 7.5'',193.4,6' 10.75''
Wesley Iwundu,SG-SF,4.00%,8.75,9.5,6' 5.5'',6' 6.75'',8' 9.5'',193.4,7' 1''
V.J. Beachem,SG-SF,6.80%,8.5,9,6' 6.25'',6' 8'',8' 8.5'',193.4,6' 10.25''
Demetrius Jackson,PG,6.50%,8.25,9,6' 0'',6' 1.25'',7' 9'',193.8,6' 5.5''
Jason Gardner,PG,9.30%,-,-,5' 9.75'',,7' 8'',194,6' 1''
Will Blalock,PG,7.20%,-,-,5' 11.25'',6' 0.5'',8' 0.5'',194,6' 6''
Ron Lewis,SG,4.50%,-,-,6' 2'',6' 4.5'',8' 3'',194,6' 6.5''
Javaris Crittenton,PG,4.50%,-,-,6' 3'',6' 4.75'',8' 2'',194,6' 5.5''
Kevin Murphy,SG,5.80%,8.5,8.5,6' 5'',6' 6.25'',8' 3'',194,6' 6.75''
Isaiah Cousins,PG,4.80%,8.25,8.75,6' 3.25'',6' 4.5'',8' 2.5'',194,6' 6.25''
Kevin Huerter,SG,8.60%,8.25,8.5,6' 6.25'',6' 7.25'',8' 5.5'',194,6' 7.5''
Tre Simmons,SG-SF,-%,-,-,6' 4'',6' 5'',8' 6.5'',194.2,6' 7.5''
Jarrett Culver,SG,5.00%,8.25,8.5,6' 5.25'',6' 6.75'',8' 4.5'',194.2,6' 9.5''
Marcus Thornton,SG,4.80%,-,-,6' 2.75'',6' 3.75'',8' 3'',194.4,6' 5''
Ty Jerome,PG,6.50%,8.25,9.5,6' 4.25'',6' 5.5'',8' 2'',194.4,6' 4''
Shan Foster,SG,6.30%,-,-,6' 4'',6' 5.25'',8' 7.5'',194.5,6' 11.5''
Marshon Brooks,SG,5.20%,9,10.5,6' 4.25'',6' 5.25'',8' 5'',194.6,7' 1''
Josh Selby,SG-PG,7.90%,8.5,9,6' 1.75'',6' 3'',8' 2'',194.6,6' 5.25''
Bruce Brown,SG-PG,3.75%,8.5,8.5,6' 3.5'',6' 5'',8' 2.5'',194.6,6' 9''
Kostas Antetokounmpo,PF,5.00%,9.25,9.5,6' 9'',6' 10.5'',9' 2'',194.8,7' 2.25''
Charles Matthews,SG,3.80%,8.5,8.75,6' 5'',6' 6.25'',8' 7'',194.8,6' 9.5''
Darius Washington,PG,9.70%,-,-,5' 11.5'',6' 1'',8' 0'',195,6' 4''
John Gilchrist,PG,-%,-,-,6' 1.25'',6' 2.5'',8' 0.5'',195.2,6' 9.25''
Armon Johnson,PG-SG,5.60%,8.25,9.25,6' 2'',6' 3.25'',8' 3.5'',195.2,6' 8''
Melo Trimble,PG,10.60%,8,8.75,6' 1.25'',6' 2.5'',7' 11.5'',195.2,6' 2''
Louis King,SF,4.80%,8,8.5,6' 6.75'',6' 8'',8' 8.5'',195.2,7' 0.25''
Jonny Flynn,PG,6.30%,-,-,5' 11.25'',6' 0.75'',7' 11.5'',195.6,6' 4''
John Wall,PG,5.60%,8.25,9.5,6' 2.75'',6' 4'',8' 5.5'',195.6,6' 9.25''
K.J. McDaniels,SF,4.45%,8.75,9.75,6' 4.5'',6' 6'',8' 6'',195.6,6' 11.25''
Carsen Edwards,PG,6.30%,8.5,9.25,5' 10.75'',6' 0'',7' 10.5'',195.6,6' 6.25''
Dijon Thompson,SF-SG,-%,-,-,6' 6.25'',6' 8'',8' 9.5'',195.8,6' 9.75''
J.P. Tokoto,SF-SG,4.10%,8,8.75,6' 5.25'',6' 6.25'',8' 4.5'',195.8,6' 10''
Caleb Martin,SF-SG,7.00%,8.5,8.75,6' 4.75'',6' 6'',8' 5.5'',195.8,6' 10''
Dylan Windler,SF,4.60%,8.25,9.5,6' 6.25'',6' 7.5'',8' 8.5'',195.8,6' 10''
Josh Childress,SG-SF,9.30%,-,-,6' 5.75'',6' 7.25'',8' 9'',196,6' 11''
Larry O'Bannon,SG,-%,-,-,6' 3'',6' 4.25'',8' 3.5'',196,6' 6''
Lester Hudson,PG,3.40%,-,-,5' 11.75'',6' 1'',8' 2.5'',196,6' 8.75''
Russell Robinson,PG,7.40%,-,-,6' 0.5'',6' 1.5'',8' 4.5'',196,6' 8''
Derrick Rose,PG,4.60%,-,-,6' 1.5'',6' 2.5'',8' 2.5'',196,6' 8''
James Fredette,PG,7.70%,8,8.5,6' 0.75'',6' 2.5'',8' 0.5'',196,6' 4.5''
DeAndre Daniels,SF,3.85%,9.25,10.5,6' 7.25'',6' 8.5'',8' 10.5'',196,7' 2''
Luke Kennard,SG-SF,6.60%,8,8.75,6' 4.5'',6' 5.5'',8' 2.5'',196.2,6' 5.25''
Lonnie Walker,SG,5.65%,9,9.5,6' 3.75'',6' 4.5'',8' 3.5'',196.2,6' 10.25''
Jevon Carter,PG,4.15%,9.25,8.5,6' 0.25'',6' 1.5'',7' 11'',196.2,6' 4.25''
Dante Exum,SG,6.40%,8.5,9.5,6' 4.5'',6' 6'',8' 7'',196.3,6' 9.5''
Nate Wolters,PG,5.50%,8.25,8.75,6' 3.5'',6' 4.75'',8' 2'',196.4,6' 3.75''
Ty Lawson,PG,6.60%,-,-,5' 11.25'',6' 0.5'',7' 10.5'',196.6,6' 0.75''
Jon Diebler,SG,8.50%,8.25,8.25,6' 5.25'',6' 6.5'',8' 3'',196.6,6' 6''
Terrence Ross,SG-SF,3.20%,8.75,10.25,6' 6'',6' 7'',8' 4.5'',196.6,6' 7.25''
Marial Shayok,SF-PF,4.70%,8.75,9.25,6' 4.5'',6' 5.5'',8' 7.5'',196.8,7' 0.25''
Mike Williams,SF,9.30%,-,-,6' 5.5'',6' 6.5'',8' 9.5'',197,6' 11.5''
Anthony Randolph,PF-SF,4.70%,-,-,6' 9'',6' 10.25'',9' 1'',197,7' 3''
CJ McCollum,PG-SG,8.60%,8,9.5,6' 2.25'',6' 3.25'',8' 0.5'',197,6' 6.25''
Daniel Hamilton,SG-SF,5.95%,9,8.5,6' 6.25'',6' 8'',8' 7.5'',197,6' 9''
Hamidou Diallo,SG,4.45%,8.75,9,6' 4.25'',6' 6'',8' 7'',197,6' 11.5''
Ricky Ledo,SG,10.25%,8.5,9.25,6' 4.75'',6' 6'',8' 6.5'',197.2,6' 7.25''
Allen Crabbe,SG,4.65%,8.25,8.5,6' 5.25'',6' 6.25'',8' 7.5'',197.4,6' 11.25''
Vander Blue,SG,4.60%,8.5,9.5,6' 3.5'',6' 5.25'',8' 4.5'',197.4,6' 6''
Hamidou Diallo,SG-SF,5.20%,8.5,9.5,6' 3.75'',6' 5'',8' 5.5'',197.4,6' 11.25''
Jarrett Jack,PG,-%,-,-,6' 2.5'',6' 3.5'',8' 4'',197.6,6' 7.5''
Andrew Goudelock,PG,9.90%,8.25,9.25,6' 1.25'',6' 2.75'',8' 0.5'',197.6,6' 4.25''
Otto Porter,SF,6.65%,8.75,9.25,6' 7.5'',6' 8.5'',8' 9.5'',197.6,7' 1.5''
Marquis Daniels,SG-PG,4.00%,-,-,6' 5.25'',,8' 7.5'',198,6' 10''
James Moore,PF-SF,8.00%,-,-,6' 6.5'',6' 8'',8' 11'',198,7' 0.5''
Ricky Minard,PG-SG,8.00%,-,-,6' 3.25'',6' 4.25'',8' 5.5'',198,6' 7''
Marko Tomas,SG-PG,9.30%,-,-,6' 6.5'',6' 7.75'',8' 7.5'',198,6' 7''
Adam Morrison,SF,6.80%,-,-,6' 6.5'',6' 7.75'',8' 9'',198,6' 10''
Daniel Horton,PG-SG,8.00%,-,-,6' 0.5'',6' 2.25'',8' 0.5'',198,6' 7''
Jeremy Hunt,SG,5.20%,-,-,6' 2'',6' 4.75'',8' 5.5'',198,6' 8.25''
DeMarcus Nelson,PG-SG,4.50%,-,-,6' 1'',6' 2.25'',8' 2.5'',198,6' 10''
Nick Johnson,SG,6.05%,8.75,9.75,6' 1.5'',6' 3'',8' 0.5'',198,6' 7.25''
Jerian Grant,PG,5.60%,8.25,8.5,6' 3.25'',6' 4.25'',8' 4'',198,6' 7.5''
Grayson Allen,SG,5.55%,8.25,10,6' 3'',6' 4.5'',8' 1'',198,6' 7.25''
Allonzo Trier,SG,4.95%,8.25,10.5,6' 3.75'',6' 5.25'',8' 2'',198,6' 6.75''
Malcolm Lee,SG,5.90%,8.5,9.5,6' 4'',6' 5.5'',8' 5.5'',198.2,6' 9.75''
Tony Snell,SF-SG,4.85%,9,9.5,6' 6'',6' 7.25'',8' 9.5'',198.2,6' 11.5''
Melvin Frazier,SF-SG,7.90%,9.5,9.5,6' 4.5'',6' 6'',8' 9'',198.2,7' 1.75''
Jordan Crawford,SG,4.90%,8,9,6' 3'',6' 4.5'',8' 5'',198.4,6' 7''
Kendall Marshall,PG,7.80%,8.5,9,6' 3.25'',6' 4.25'',8' 0'',198.4,6' 5.5''
Jalen Brunson,PG,6.70%,8.25,9.25,6' 1'',6' 2.25'',8' 0'',198.4,6' 4''
Deron Washington,SF,7.20%,-,-,6' 5.25'',6' 6.25'',8' 6.5'',198.5,6' 9''
Rashad Vaughn,SG,6.20%,8,8.5,6' 3.75'',6' 5'',8' 5'',198.6,6' 7''
Zhaire Smith,SF-SG,6.05%,8.75,8.25,6' 2.75'',6' 4'',8' 4'',198.6,6' 9.75''
Khyri Thomas,SG,6.40%,8.75,9.25,6' 2.5'',6' 3.75'',8' 5'',198.8,6' 10.5''
Tony Carr,PG,6.50%,8.5,9.75,6' 3'',6' 4.5'',8' 4'',198.8,6' 8.25''
Jeff Newton,PF,5.30%,-,-,6' 8'',,8' 10'',199,7' 1''
Beno Udrih,PG,9.30%,-,-,6' 2.5'',6' 3.75'',8' 2'',199,6' 4.5''
Jameer Nelson,PG,8.00%,-,-,5' 11'',6' 0.5'',7' 11'',199,6' 2.5''
DJ Strawberry,SG,4.50%,-,-,6' 3.75'',6' 5'',8' 5'',199,6' 6.5''
Reggie Williams,SG,5.30%,-,-,6' 3.25'',6' 4'',8' 7'',199,6' 9.25''
Robert Vaden,SG,6.20%,-,-,6' 3.5'',6' 4.5'',8' 5'',199,6' 8''
Jrue Holiday,PG-SG,6.30%,-,-,6' 3.25'',6' 4.25'',8' 4.5'',199,6' 7''
Chris McCullough,PF,6.20%,8.75,8.75,6' 8.25'',6' 9'',9' 1'',199,7' 3.25''
Raymond Felton,PG,-%,-,-,5' 11.5'',6' 0.25'',8' 2'',199.4,6' 4.25''
Doron Lamb,SG-PG,6.70%,8.5,8.75,6' 3.25'',6' 4.75'',8' 2.5'',199.4,6' 6.75''
Tim Hardaway Jr.,SG,6.05%,8,9.25,6' 4.5'',6' 6.25'',8' 5'',199.4,6' 7''
Michael Frazier II,SG,7.40%,8.25,9.25,6' 3.75'',6' 4.25'',8' 5.5'',199.4,6' 8''
Carsen Edwards,PG,5.50%,8.75,9,5' 10.75'',6' 0.25'',7' 10.5'',199.4,6' 6''
Malachi Richardson,SG-SF,7.00%,8.75,10,6' 4.75'',6' 6.25'',8' 5.5'',199.6,7' 0''
Jacob Evans,SG-SF,6.50%,9,9.25,6' 4.25'',6' 5.5'',8' 6.5'',199.6,6' 9.25''
Reggie Bullock,SG-SF,6.95%,8.5,9,6' 5.75'',6' 7'',8' 6'',199.8,6' 8.75''
Tommy Smith,PF-SF,6.70%,-,-,6' 9'',,8' 11.5'',200,7' 2.5''
Travis Hansen,SG,6.00%,-,-,6' 4.5'',,8' 4.5'',200,6' 6.5''
Bernard King,SG-PG,12.90%,-,-,6' 3.75'',,8' 2.5'',200,6' 5.5''
Omar Thomas,SF-SG,-%,-,-,6' 3.25'',6' 4.5'',8' 6'',200,6' 8''
Brandan Wright,PF,5.80%,-,-,6' 8.75'',6' 10'',9' 0.5'',200,7' 3.75''
O.J. Mayo,SG-PG,6.30%,-,-,6' 3.25'',6' 4.25'',8' 3.5'',200,6' 6''
Brian Bowen II,SF,6.50%,8.5,9.75,6' 6.25'',6' 7.5'',8' 7'',200,6' 10''
Tyus Battle,SG,4.00%,8.5,9.25,6' 5'',6' 6.75'',8' 6'',200.2,6' 9''
Kenrich Williams,SF,5.95%,8.5,9.75,6' 6'',6' 7.5'',8' 7.5'',200.4,6' 7.25''
Tomas Satoransky,PG-SG,5.20%,8.5,9.5,6' 6.5'',6' 7.5'',8' 4'',200.6,6' 7.25''
PJ Dozier,SG,6.10%,8.5,9.5,6' 5.25'',6' 6.75'',8' 5'',200.6,6' 11''
Donte DiVincenzo,SG,5.00%,8.25,9,6' 3.5'',6' 4.5'',8' 1.5'',200.6,6' 6''
James Ennis,SF,4.50%,8.5,8.75,6' 5.75'',6' 7'',8' 8.5'',200.8,6' 11.5''
Justin Jackson (UNC),SF,8.10%,8.75,9.25,6' 7'',6' 8.25'',8' 8.5'',200.8,6' 11''
Willie Green,SG-PG,8.00%,-,-,6' 2.5'',,8' 4'',201,6' 7.25''
Carl English,SG-PG,8.00%,-,-,6' 4'',,8' 2.5'',201,6' 5.25''
Trevor Ariza,SG-SF,8.00%,-,-,6' 7'',6' 8.25'',8' 11.5'',201,7' 2''
Rashad McCants,SG,-%,-,-,6' 2.75'',6' 4'',8' 7.5'',201,6' 10.75''
Nick George,SF-SG,6.00%,-,-,6' 4'',6' 5.75'',8' 7'',201,6' 10''
Brad Newley,SG,8.00%,-,-,6' 5'',6' 6.5'',8' 6.5'',201,6' 8''
Stanley Burrell,PG,5.60%,-,-,6' 1.5'',6' 2.5'',8' 1.5'',201,6' 6.25''
Brandon Paul,SG,5.25%,8.5,9.5,6' 2.75'',6' 4'',8' 2'',201,6' 10.25''
C.J. Wilcox,SG,6.50%,8.75,9,6' 3.5'',6' 5'',8' 4.5'',201,6' 9.75''
Michael Qualls,SG-SF,4.00%,9,10.25,6' 4'',6' 5'',8' 8.5'',201.4,7' 0.25''
Frank Jackson,PG,6.70%,8.25,9,6' 2'',6' 3.5'',8' 2'',201.6,6' 7.5''
Bradley Beal,SG,6.00%,8.5,9,6' 3.25'',6' 4.75'',8' 4'',201.8,6' 8''
Wade Baldwin IV,PG,5.20%,9,9.75,6' 2.5'',6' 4'',8' 4'',201.8,6' 11.25''
Jabari Brown,SG,6.05%,9,9.25,6' 3'',6' 4.25'',8' 4'',201.9,6' 8.25''
Josh Howard,SF-SG,6.00%,-,-,6' 5.25'',,8' 9.5'',202,7' 2''
Marcus Moore,PG-SG,14.80%,-,-,6' 4'',6' 5.25'',8' 5.5'',202,6' 9''
Luis Flores,PG-SG,6.00%,-,-,6' 0.5'',6' 1.75'',8' 2.5'',202,6' 7.5''
Viktor Keyru,SG-PG,5.50%,-,-,6' 5.25'',6' 6'',8' 8'',202,6' 9.25''
Brian Bowen,SG-SF,7.60%,9,10,6' 6.25'',6' 7.5'',8' 7.5'',202,6' 10.25''
Julius Hodge,SG-SF,-%,-,-,6' 6'',6' 7'',8' 11.5'',202.2,7' 0.5''
DeAndre Liggins,SF-SG,5.00%,8.75,10,6' 5'',6' 6.25'',8' 7.5'',202.2,6' 11''
Deron Williams,PG,-%,-,-,6' 1.75'',6' 2.75'',8' 2'',202.4,6' 6.25''
Wayne Ellington,SG,5.50%,-,-,6' 4.25'',6' 5.25'',8' 4'',202.4,6' 6.5''
J'Covan Brown,PG,12.50%,7.75,8.25,6' 1'',6' 2.25'',8' 0'',202.4,6' 5.25''
Peter Jok,SG-SF,11.00%,8.25,9.5,6' 4.25'',6' 5.75'',8' 6'',202.4,6' 8''
Jaylen Nowell,SG,6.10%,8.25,8.5,6' 3.25'',6' 4.25'',8' 2'',202.4,6' 7.25''
Antoine Wright,SF-SG,-%,-,-,6' 5.25'',6' 6.25'',8' 8.5'',202.6,6' 8.75''
Terrico White,SG-PG,3.70%,9,10.5,6' 3.75'',6' 5'',8' 5'',202.6,6' 9''
Carrick Felix,SF-SG,3.30%,8.5,9.5,6' 4.75'',6' 6.25'',8' 7.5'',202.6,6' 9.25''
Austin Rivers,SG-PG,6.20%,8.5,10,6' 3.5'',6' 5'',8' 0.5'',202.8,6' 7.25''
Kelly Oubre,SF-SG,5.70%,9,8.75,6' 5.75'',6' 6.75'',8' 6.5'',202.8,7' 2.25''
Maurice Ager,SG-PG,8.00%,-,-,6' 3.25'',6' 4.5'',8' 5.5'',203,6' 7.75''
Daequan Cook,SG,7.00%,-,-,6' 3'',6' 5.75'',8' 5.5'',203,6' 8.25''
Richard Roby,SG-SF,9.20%,-,-,6' 4.25'',6' 5.5'',8' 8'',203,6' 9.75''
Keith Langford,SG-SF,-%,-,-,6' 2.25'',6' 3.5'',8' 5'',203.2,6' 9''
Tony Wroten,PG,5.20%,8,9,6' 4.75'',6' 6'',8' 5'',203.2,6' 9''
O'Shae Brissett,SF-PF,2.90%,9,9.5,6' 7'',6' 8'',8' 8'',203.2,7' 0''
Darington Hobson,SG-SF,6.20%,8.25,9,6' 5.25'',6' 6.5'',8' 8.5'',203.6,6' 9.25''
Kentavious Caldwell-Pope,SG,6.45%,8.5,9,6' 4.5'',6' 5.5'',8' 4.5'',203.6,6' 8''
Josh Hart,SG,5.75%,8.5,9.25,6' 4'',6' 5.5'',8' 3.5'',203.6,6' 8.5''
Nickeil Alexander-Walker,SG,5.90%,8.5,8.75,6' 4.25'',6' 5.5'',8' 6'',203.8,6' 9.5''
Romain Sato,SG,6.00%,-,-,6' 2'',6' 3.25'',8' 6.5'',204,6' 11''
Rodney Carney,SG-SF,5.30%,-,-,6' 4.5'',6' 5.75'',8' 7.5'',204,6' 10''
Allan Ray,SG,9.80%,-,-,6' 1'',6' 2.25'',8' 3.5'',204,6' 8.5''
Danilo Pinnock,PG-SG,4.60%,-,-,6' 2.75'',6' 4'',8' 4.5'',204,6' 7.5''
Coby Karl,SG-PG,5.40%,-,-,6' 3'',6' 4.75'',8' 3.5'',204,6' 11''
Pat Calathes,SF-PF,7.30%,-,-,6' 8.75'',6' 9.75'',8' 10'',204,6' 9.75''
Malik Hairston,SG,6.90%,-,-,6' 4.25'',6' 5.25'',8' 7.5'',204,6' 9''
Jerryd Bayless,PG-SG,4.70%,-,-,6' 1.75'',6' 3'',8' 1'',204,6' 3.5''
Demetri McCamey,PG,6.10%,8.5,9,6' 1.75'',6' 3.25'',8' 3.5'',204,6' 6.25''
Gary Trent,SG,7.00%,8.5,9.5,6' 4.25'',6' 5.75'',8' 2'',204.2,6' 8.75''
Scotty Hopson,SG,4.80%,8.5,10,6' 5.75'',6' 6.5'',8' 7.5'',204.6,6' 10.5''
Michael Gbinije,SG,5.40%,8,9,6' 5.5'',6' 6.75'',8' 5'',204.6,6' 7.5''
Terance Mann,SG-SF,4.00%,9.5,9.25,6' 4.75'',6' 6.5'',8' 5'',204.6,6' 7.75''
Gary Harris,SG,4.55%,8.5,9.5,6' 2.5'',6' 4.5'',8' 0'',204.8,6' 6.75''
Spencer Dinwiddie,PG,5.35%,8.25,9,6' 4.5'',6' 6'',8' 7'',204.9,6' 8.25''
LaVell Blanchard,SF,11.70%,-,-,6' 6'',,8' 5.5'',205,6' 6''
Michel Morandais,SG-SF,8.60%,-,-,6' 3.75'',6' 4.75'',8' 6'',205,6' 11.5''
Aerick Sanders,PF,6.70%,-,-,6' 6.5'',6' 7.5'',8' 10'',205,6' 11.5''
Justin Doellman,PF,7.00%,-,-,6' 8'',6' 9.5'',8' 9'',205,6' 8.75''
Travis Leslie,SG,8.10%,8.75,9.25,6' 3'',6' 4.25'',8' 7'',205,6' 10.5''
Kris Wilkes,SF,5.15%,8.75,9.25,6' 6.5'',6' 7.5'',8' 7.5'',205,6' 10.25''
Thanasis Antetokounmpo,SF,6.05%,9,9.75,6' 5.25'',6' 6.25'',8' 8.5'',205.2,7' 0''
Damyean Dotson,SG-SF,5.30%,8.5,9.25,6' 4.5'',6' 5.5'',8' 4'',205.2,6' 9''
Cameron Johnson,SG,5.80%,8,8.5,6' 7'',6' 8.5'',8' 7'',205.2,6' 10''
Klay Thompson,SG,8.00%,8.75,9.25,6' 5.75'',6' 7.25'',8' 7.5'',205.6,6' 9''
Miye Oni,SG,4.90%,9,10,6' 4.25'',6' 5.75'',8' 4.5'',205.6,6' 10.75''
Scott Machado,PG,5.80%,8.5,9.5,6' 1'',6' 2'',7' 10.5'',205.8,6' 4''
Andre Roberson,PF-SF,7.05%,8.75,9.5,6' 6.25'',6' 7'',8' 8.5'',205.8,6' 11''
Devin Booker,SG,8.30%,8.75,9,6' 4.5'',6' 5.75'',8' 6.5'',205.8,6' 8.25''
Bryant Matthews,SF-SG,6.70%,-,-,6' 5.75'',6' 6.75'',8' 9.5'',206,7' 0.5''
Renaldo Balkman,SF-PF,4.90%,-,-,6' 5.25'',6' 6.5'',8' 8.5'',206,7' 1''
Nick Young,SG-SF,6.80%,-,-,6' 5'',6' 6.75'',8' 4.5'',206,7' 0''
Hollis Thompson,SF,6.00%,8.25,9.75,6' 6.75'',6' 8'',8' 6.5'',206,6' 9.5''
Mike Bell,SF-PF,-%,-,-,6' 8.75'',6' 9.25'',8' 8.5'',206.2,7' 1.5''
Davon Reed,SG-SF,6.50%,9.25,9.5,6' 4.5'',6' 5.5'',8' 6'',206.2,7' 0''
Sean Banks,SF,-%,-,-,6' 5.75'',6' 7'',9' 0'',206.4,7' 1''
Chase Budinger,SF-SG,10.00%,-,-,6' 6.25'',6' 7'',8' 5'',206.4,6' 7''
Wesley Johnson,SF,4.60%,9,9.5,6' 6.25'',6' 7.25'',8' 10'',206.4,7' 1''
Nerlens Noel,C,4.15%,9.5,10,6' 10'',6' 11.75'',9' 2'',206.4,7' 3.75''
Devon Hall,SG,8.45%,8.5,10,6' 4.25'',6' 6'',8' 6'',206.4,6' 7.75''
Zach Norvell Jr.,SG,7.50%,8.5,9.5,6' 4.5'',6' 5.5'',8' 5'',206.4,6' 6''
Maurice Harkless,SF,5.30%,9.25,10.25,6' 7.25'',6' 8.75'',8' 6.5'',206.6,7' 0''
DeAndre Bembry,SG-SF,7.00%,8,9.25,6' 4.25'',6' 5.75'',8' 5'',206.6,6' 9.25''
Quinndary Weatherspoon,SG,6.10%,8.5,9,6' 3'',6' 4.25'',8' 4'',206.6,6' 9''
Nik Stauskas,SG,12.05%,8.5,8.5,6' 5.25'',6' 6.5'',8' 6'',206.9,6' 7.75''
Matt Carroll,SG-SF,6.70%,-,-,6' 5'',,8' 2.5'',207,6' 6.5''
Tim Pickett,PG-SG,6.00%,-,-,6' 3'',6' 4.25'',8' 4.5'',207,6' 7.5''
Brandon Roy,SG-SF,7.60%,-,-,6' 5.25'',6' 6.25'',8' 5'',207,6' 8''
Rodney Stuckey,SG-PG,6.10%,-,-,6' 3.75'',6' 4.5'',8' 4.5'',207,6' 7.25''
DeMarre Carroll,PF-SF,6.30%,-,-,6' 6.25'',6' 7.75'',8' 9'',207.2,6' 10''
Jereme Richmond,SF,5.50%,8.75,9.5,6' 6'',6' 7.25'',8' 10.5'',207.2,6' 10.25''
Norvel Pelle,PF-C,5.15%,8.75,9.5,6' 9.5'',6' 10.5'',9' 1'',207.2,7' 2.5''
Shake Milton,SG-PG,6.80%,8.75,9.5,6' 4.5'',6' 5.5'',8' 3.5'',207.2,7' 0.75''
Brandon Clarke,SF,4.90%,8.25,9.5,6' 7.25'',6' 8.25'',8' 6'',207.2,6' 8.25''
Jermaine Taylor,SG,5.80%,-,-,6' 3.5'',6' 4.75'',8' 5'',207.4,6' 8.75''
James Anderson,SF,7.90%,8.5,7.25,6' 4.75'',6' 5.75'',8' 8'',207.6,6' 8.5''
Jaylen Barford,PG-SG,11.65%,8,8.25,6' 1.25'',6' 2.25'',8' 0.5'',207.6,6' 3.5''
Devin Ebanks,SF,7.90%,8.25,9,6' 7'',6' 8.25'',8' 11.5'',207.8,7' 0.25''
Cameron Reddish,SF,4.70%,9,9,6' 6.5'',6' 8'',8' 9.5'',207.8,7' 0.5''
Bernard Robinson,SG-SF,6.00%,-,-,6' 5.25'',6' 6.5'',8' 6'',208,6' 10''
Dwayne Mitchell,SG-SF,4.50%,-,-,6' 2'',6' 3.25'',8' 2.5'',208,6' 6.5''
